ENST00000628983	NM_012234
ENST00000627423	NM_001291281
ENST00000629761	NM_005541
ENST00000630854	NM_001017915
ENST00000627758	NM_014581
ENST00000628865	NM_001288987
ENST00000630425	NM_019605
ENST00000630362	NM_003051
ENST00000628110	NM_001166496
ENST00000628523	NM_001256469
ENST00000630001	NM_012330
ENST00000629879	NM_001256468
ENST00000625523	NM_001170564
ENST00000627903	NM_001122834
ENST00000626327	NM_001170588
ENST00000628693	NM_001170587
ENST00000629360	NM_018194
ENST00000625820	NM_001170580
ENST00000629980	NM_006753
ENST00000629832	NM_002953
ENST00000628256	NM_001006665
ENST00000631074	NM_013358
ENST00000631196	NM_133640
ENST00000626118	NM_181491
ENST00000628759	NM_001287349
ENST00000625769	NM_016233
ENST00000628229	NM_012387
ENST00000625422	NM_001288591
ENST00000629459	NM_025169
ENST00000626497	NM_018651
ENST00000626497	NM_001288590
ENST00000627156	NM_001288592
ENST00000630979	NM_000972
ENST00000625380	NM_207421
ENST00000631021	NM_018715
ENST00000628984	NM_001136204
ENST00000625494	NM_173658
ENST00000626663	NM_003172
ENST00000628258	NM_001280787
ENST00000625501	NM_001190266
ENST00000625501	NM_001190267
ENST00000625501	NM_030803
ENST00000626623	NM_198890
ENST00000630066	NM_017974
ENST00000628172	NM_006991
ENST00000627752	NM_001024855
ENST00000630633	NM_001278928
ENST00000630633	NM_017503
ENST00000625394	NM_003420
ENST00000629578	NM_001280788
ENST00000629578	NM_033161
ENST00000629119	NM_001280792
ENST00000627384	NM_001280791
ENST00000625213	NM_001280790
ENST00000626303	NM_001280789
ENST00000630464	NM_001134441
ENST00000630464	NM_001134442
ENST00000626630	NM_001134440
ENST00000626630	NM_001282880
ENST00000626630	NM_033210
ENST00000627775	NM_145044
ENST00000625592	NM_001258280
ENST00000627745	NM_001320334
ENST00000627745	NM_020696
ENST00000627962	NM_153710
ENST00000628678	NM_001279349
ENST00000630460	NM_001279350
ENST00000630460	NM_001279351
ENST00000630460	NM_020385
ENST00000627272	NM_020242
ENST00000631149	NM_000541
ENST00000626748	NM_144638
ENST00000628744	NM_003241
ENST00000626597	NM_139025
ENST00000626744	NM_139027
ENST00000630465	NM_139026
ENST00000627083	NM_001242370
ENST00000630997	NM_001242369
ENST00000625979	NM_001135775
ENST00000629431	NM_017586
ENST00000625425	NM_001145099
ENST00000626271	NM_017585
ENST00000626615	NM_020469
ENST00000633392	NM_001146344
ENST00000629738	NM_014938
ENST00000634171	NM_001013631
ENST00000631317	NM_138723
ENST00000628783	NM_138722
ENST00000631251	NM_030766
ENST00000630618	NM_001320822
ENST00000630618	NM_007368
ENST00000632257	NM_023014
ENST00000632563	NM_001009611
ENST00000632873	NM_001039361
ENST00000355096	NM_001012277
ENST00000632295	NM_001010889
ENST00000626640	NM_181721
ENST00000631964	NM_001300891
ENST00000632559	NM_001310134
ENST00000628182	NM_002336
ENST00000633863	NM_001146181
ENST00000625528	NM_198489
ENST00000633810	NM_001136561
ENST00000633532	NM_001306072
ENST00000633805	NM_001302551
ENST00000633914	NM_001010890
ENST00000632307	NM_001099850
ENST00000633074	NM_001013407
ENST00000628770	NM_001028
ENST00000632222	NM_001012276
ENST00000625469	NM_001003892
ENST00000629245	NM_018050
ENST00000625206	NM_001300742
ENST00000627374	NM_058169
ENST00000631823	NM_001099790
ENST00000626413	NM_030640
ENST00000629243	NM_016146
ENST00000629267	NM_001143832
ENST00000625757	NM_004714
ENST00000625388	NM_006484
ENST00000627034	NM_006483
ENST00000630669	NM_001130991
ENST00000630669	NM_006389
ENST00000625241	NM_001436
ENST00000629691	NM_006503
ENST00000630857	NM_153001
ENST00000627583	NM_001297763
ENST00000626389	NM_178544
ENST00000627167	NM_001005851
ENST00000630440	NM_001142579
ENST00000628273	NM_001010880
ENST00000628273	NM_001142578
ENST00000630528	NM_001142577
ENST00000626621	NM_021729
ENST00000629865	NM_001290185
ENST00000628705	NM_003890
ENST00000631372	NM_001467
ENST00000631372	NM_001164280
ENST00000631372	NM_001164279
ENST00000631372	NM_001164278
ENST00000631372	NM_001164277
ENST00000634970	NM_001321967
ENST00000635228	NM_014772
ENST00000634350	NM_001142397
ENST00000635224	NM_001126049
ENST00000634767	NM_000314
ENST00000634767	NM_001304717
ENST00000634494	NM_007181
ENST00000634494	NM_001042600
ENST00000634875	NM_001290253
ENST00000632891	28943
ENST00000632011	28938
ENST00000632229	28937
ENST00000633851	28923
ENST00000631531	28935
ENST00000635454	NM_015525
ENST00000635384	NM_001300906
ENST00000633682	28921
ENST00000632910	28919
ENST00000632835	28933
ENST00000634474	NM_001308393
ENST00000635567	NM_013234
ENST00000634491	NM_001300992
ENST00000634817	NM_006670
ENST00000634826	NM_001166392
ENST00000634960	NM_004924
ENST00000633701	NM_173471
ENST00000632575	NM_001164796
ENST00000634448	NM_002307
ENST00000634800	NM_001042507
ENST00000634573	NM_006149
ENST00000634245	NM_001398
ENST00000634753	NM_001533
ENST00000634237	NM_001005335
ENST00000635328	NM_198445
ENST00000635542	NM_001195833
ENST00000634707	NM_001193286
ENST00000634533	NM_012237
ENST00000635478	NM_030593
ENST00000634995	NM_001243116
ENST00000635517	NM_002503
ENST00000635114	NM_001243212
ENST00000634687	NM_017827
ENST00000635245	NM_001145901
ENST00000634246	NM_033362
ENST00000634704	NM_021107
ENST00000634400	NM_033363
ENST00000634982	NM_024907
ENST00000635115	NM_148169
ENST00000635148	NM_144691
ENST00000625920	NM_153444
ENST00000630502	NM_153445
ENST00000625231	NM_001004461
ENST00000626843	NM_001003745
ENST00000625327	NM_176821
ENST00000632788	NM_001277308
ENST00000627617	NM_002490
ENST00000632219	NM_001144757
ENST00000632674	NM_003020
ENST00000637517	NM_001306068
ENST00000628774	NM_005650
ENST00000626486	NM_181492
ENST00000632802	NM_013372
ENST00000632478	NM_001191323
ENST00000636783	NM_001282472
ENST00000632335	NM_000746
ENST00000632335	NM_001190455
ENST00000633373	NM_001039841
ENST00000635923	NM_001282494
ENST00000633634	NM_001286479
ENST00000633634	NM_001286480
ENST00000633634	NM_014783
ENST00000633634	NM_199357
ENST00000630716	NM_000106
ENST00000629640	NM_001025161
ENST00000626726	NM_005650
ENST00000629538	NM_181492
ENST00000634616	NM_005650
ENST00000635421	NM_181492
ENST00000635437	NM_003154
ENST00000634727	NM_001009181
ENST00000634780	NM_001287802
ENST00000634780	NM_003193
ENST00000634751	NM_001079515
ENST00000635692	NM_001287801
ENST00000634240	NM_000106
ENST00000634653	NM_001025161
ENST00000635150	NM_001102399
ENST00000635150	NM_001297621
ENST00000635150	NM_001102397
ENST00000634713	NM_001102398
ENST00000634263	NM_005826
ENST00000635199	NM_001297622
ENST00000634634	NM_001297620
ENST00000634949	NM_000200
ENST00000634500	NM_145252
ENST00000635327	NM_002159
ENST00000634511	NM_022119
ENST00000635400	NM_001077195
ENST00000635349	NM_030634
ENST00000634325	NM_214711
ENST00000636272	NM_001100631
ENST00000635453	NM_152490
ENST00000635244	NM_001277155
ENST00000635035	NM_003196
ENST00000635146	NM_005650
ENST00000634489	NM_181492
ENST00000634561	NM_017707
ENST00000635198	NM_001143778
ENST00000635154	NM_007088
ENST00000635371	NM_001740
ENST00000634752	NM_018348
ENST00000634752	NM_001099642
ENST00000634260	NM_172241
ENST00000634683	NM_004091
ENST00000634790	NM_002167
ENST00000637546	NM_001306068
ENST00000361390	4535
ENST00000361453	4536
ENST00000361624	4512
ENST00000361739	4513
ENST00000361851	4509
ENST00000361899	4508
ENST00000362079	4514
ENST00000300177	NM_013372
ENST00000300177	NM_001191322
ENST00000322805	NM_001191323
ENST00000361227	4537
ENST00000361335	4539
ENST00000340446	NM_032135
ENST00000354649	NM_001045477
ENST00000361381	4538
ENST00000372322	NM_001170741
ENST00000361567	4540
ENST00000361681	4541
ENST00000617608	NM_178829
ENST00000421362	NM_001040412
ENST00000354479	NM_001040411
ENST00000361789	4519
ENST00000312292	NM_001287391
ENST00000312292	NM_203299
ENST00000312292	NM_001040410
ENST00000617291	NM_001013
ENST00000618156	NM_001291504
ENST00000618156	NM_006241
ENST00000438848	NM_001291505
ENST00000378198	NM_016614
ENST00000366999	NM_002497
ENST00000366998	NM_001204183
ENST00000337288	NM_020151
ENST00000540251	NM_001204182
ENST00000512733	NM_001040202
ENST00000619956	NM_015629
ENST00000383230	NM_006120
ENST00000616277	NM_013342
ENST00000356725	NM_206894
ENST00000530443	NM_001005169
ENST00000613249	NM_001242800
ENST00000614179	NM_001242801
ENST00000615484	NM_001242802
ENST00000305456	NM_001005193
ENST00000265322	NM_018441
ENST00000317398	NM_024833
ENST00000622368	NM_144686
ENST00000622368	NM_001145303
ENST00000319172	NM_018266
ENST00000308284	NM_033127
ENST00000622437	NM_001080772
ENST00000611022	NM_001080770
ENST00000413655	NM_001303007
ENST00000413655	NM_001303008
ENST00000424790	NM_013974
ENST00000221859	NM_006233
ENST00000613354	NM_144686
ENST00000613354	NM_001145303
ENST00000256689	NM_018976
ENST00000619581	NM_013342
ENST00000409235	NM_021185
ENST00000612232	NM_001307936
ENST00000356878	NM_031852
ENST00000525929	NM_018910
ENST00000525842	NM_014155
ENST00000378123	NM_031856
ENST00000531613	NM_018911
ENST00000530205	NM_001301099
ENST00000397753	NM_001301098
ENST00000318203	NM_152677
